,index,Method,Test Case,ID,Crashes,Non Crashes,Predicates,SLOC,Trace Analysis Time,Monitoring Time,Ranking Time,Tracing Time,Instructions Traced,Total Instructions,Time to Prepare For Tracing
0,0,aurora,cjpeg_divide_by_zero_trace,2.0,11.0,245.6,1.8,1.8,0.332,2.352,0.0,14.532,785.8,778.4,0.0
1,40,loc,cjpeg_divide_by_zero_trace,2.0,11.0,245.6,1.0,1.0,0.186,2.34,0.0,11.392,325.4,778.4,15.4762
2,20,basic block,cjpeg_divide_by_zero_trace,2.0,11.0,245.6,1.0,2.0,0.09,2.262,0.0,9.922,104.2,804.8,0.0
3,60,loc with source,cjpeg_divide_by_zero_trace,2.0,11.0,245.6,1.0,1.0,0.166,2.346,0.0,11.386,328.0,778.4,0.014000000000000002
4,1,aurora,cjpeg_heap_buffer_overflow_trace,2.0,11.0,106.4,1.0,1.0,0.238,2.382,0.016,4.616,932.8,932.8,0.0
5,41,loc,cjpeg_heap_buffer_overflow_trace,2.0,11.0,106.4,1.0,1.0,0.10400000000000001,2.198,0.008,3.9559999999999995,325.2,932.8,12.8898
6,61,loc with source,cjpeg_heap_buffer_overflow_trace,2.0,11.0,106.4,1.0,1.0,0.11000000000000001,2.2359999999999998,0.008,3.978,325.2,932.8,0.01
7,21,basic block,cjpeg_heap_buffer_overflow_trace,2.0,11.0,106.4,14.4,10.6,0.066,2.126,0.0,3.7700000000000005,125.6,946.4,0.0
8,2,aurora,ezxml_trace,2.0,20.4,601.2,2.6,1.0,2.978,2.4899999999999998,0.014000000000000002,45.176,1812.2,1803.4,0.0
9,62,loc with source,ezxml_trace,2.0,20.4,601.2,3.0,1.0,0.994,2.452,0.0,25.334,413.2,1806.6,0.01
10,22,basic block,ezxml_trace,2.0,20.4,601.2,4.0,1.0,0.592,2.588,0.002,22.982,218.0,1825.6,0.0
11,42,loc,ezxml_trace,2.0,20.4,601.2,3.0,1.0,0.9719999999999999,2.448,0.0,25.056,415.6,1806.6,12.6002
12,3,aurora,fls_trace,2.0,88.6,322.2,4.4,2.6,8.396,3.696,0.055999999999999994,88.85,10646.0,10646.0,0.0
13,63,loc with source,fls_trace,2.0,88.6,322.2,3.4,2.4,2.4539999999999997,3.5520000000000005,0.02,39.546,2594.4,10646.0,0.062
14,23,basic block,fls_trace,2.0,88.6,322.2,18.4,14.6,1.084,3.658,0.02,29.896000000000004,1068.4,10666.0,0.0
15,43,loc,fls_trace,2.0,88.6,322.2,3.4,2.4,2.538,3.554,0.024,39.05,2594.4,10646.0,68.5578
16,24,basic block,img2sixel_trace,2.0,16.6,101.4,16.2,14.0,0.10800000000000001,3.7120000000000006,0.01,20.622,1618.8,7570.0,0.0
17,4,aurora,img2sixel_trace,2.0,16.6,100.0,26.8,12.4,0.6980000000000001,4.608,0.21800000000000003,71.788,2604.0,2604.0,0.0
18,64,loc with source,img2sixel_trace,2.0,16.6,101.4,12.0,12.0,0.24,3.9799999999999995,0.042,44.07,724.0,2604.0,0.027999999999999997
